Place,Lat,Lon,Globvalue
"Catalina Foothills, Arizona",32.29785,-110.9187,0
"Cathedral City, California",33.77974,-116.46529,0
"Catonsville, Maryland",39.27205,-76.73192,0
"Cedar Creek Lake, Texas",31.18658,-94.83438,0
"Cedar Falls, Iowa",42.52776,-92.44547,0.256437491
"Cedar Hill, Texas",32.58847,-96.95612,0
"Cedar Park, Texas",30.5052,-97.82029,0.183782418
"Cedar Rapids, Iowa",42.00833,-91.64407,0.237523646
"Centennial, Colorado",39.57916,-104.87692,0.068346618
"Centereach, New York",40.85843,-73.09955,0
"Central Coast, California",36.94034,-121.74046,0
"Central Contra Costa, California",38.01992,-121.87274,0
"Central Islip, New York",40.79065,-73.20178,0
"Central Manchester, Connecticut",41.77593,-72.52148,0
"Central Pasco, Florida",28.20449,-82.33058,0
"Centreville, Virginia",38.84039,-77.42888,0.496835158
"Ceres, California",37.59493,-120.95771,0.329500388
"Cerritos, California",33.85835,-118.06479,0.694627981
"Champaign, Illinois",40.11642,-88.24338,0
"Chandler, Arizona",33.30616,-111.84125,0.41946371
"Channelview, Texas",29.77606,-95.11465,0
"Chapel Hill, North Carolina",35.9132,-79.05584,0.443216852
"Charleston, South Carolina",32.77657,-79.93092,0.394343445
"Charleston, West Virginia",38.34982,-81.63262,0.336877076
"Charlotte, North Carolina",35.22709,-80.84313,0.384070105
"Charlottesville, Virginia",38.02931,-78.47668,0.561594409
"Chattanooga, Tennessee",35.04563,-85.30968,0.555839119
"Cheektowaga, New York",42.90339,-78.75475,0
"Chelmsford, Massachusetts",42.59981,-71.36728,0
"Chelsea, Massachusetts",42.39176,-71.03283,0
"Chesapeake, Virginia",36.81904,-76.27494,0.12924119
"Chester, Pennsylvania",39.96097,-75.60804,0.495114656
"Chesterfield, Missouri",38.66311,-90.57707,0
"Cheyenne, Wyoming",41.13998,-104.82025,0.087841808
"Chicago Heights, Illinois",41.50615,-87.6356,0.370119977
"Chicago, Illinois",41.85003,-87.65005,0.334888014
"Chico, California",39.72849,-121.83748,0.158766196
"Chicopee, Massachusetts",42.1487,-72.60787,0
"Chillum, Maryland",38.96372,-76.99081,0
"Chino Hills, California",33.9938,-117.75888,0.668596177
"Chino, California",34.01223,-117.68894,0.179157157
"Chula Vista, California",32.64005,-117.0842,0.530779839
"Cicero, Illinois",41.84559,-87.75394,0
"Cicero, New York",43.17562,-76.11937,0
"Cincinnati, Ohio",39.12711,-84.51439,0.24881838
"Citrus Heights, California",38.70712,-121.28106,0
"Claremont, California",34.09668,-117.71978,0
"Clarence, New York",43.01061,-78.63753,0
"Clark, Nevada",36.0397,-114.98194,0
"Clarkstown, New York",41.08871,-74.01347,0
"Clarksville, Tennessee",36.52977,-87.35945,0.095135176
"Clay, New York",43.1859,-76.17243,1.318536454
"Clearfield, Utah",41.11078,-112.02605,0
